Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,
2018-01-01 to 2018-07-31,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18
New Blackfriars,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1741-2005,NBFR,0028-4289,1741-2005,14,4,10,2,1,5,1,1,0,4
New Directions for Adult and Continuing Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0717,ACE,1052-2891,1536-0717,114,58,56,0,5,5,4,3,83,14
New Directions for Child and Adolescent Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1534-8687,CAD,1520-3247,1534-8687,36,6,30,5,2,4,11,8,1,5
New Directions for Community Colleges,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0733,CC,0194-3081,1536-0733,16,5,11,2,1,7,4,1,1,0
New Directions for Evaluation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1534-875X,EV,1097-6736,1534-875X,57,7,50,0,0,8,23,14,9,3
New Directions for Higher Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0741,HE,0271-0560,1536-0741,47,5,42,7,3,14,8,6,5,4
New Directions for Institutional Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-075X,IR,0271-0579,1536-075X,33,3,30,3,5,7,6,8,2,2
New Directions for Mental Health Services,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1558-4453,YD,0193-9416,1558-4453,1,0,1,0,0,0,0,1,0,0
New Directions for Philanthropic Fundraising,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-7846,PF,1072-172X,1542-7846,0,0,0,0,0,0,0,0,0,0
New Directions for Program Evaluation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1551-2371,EV,0164-7989,1551-2371,0,0,0,0,0,0,0,0,0,0
New Directions for Student Leadership,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2373-3357,YD,2373-3349,2373-3357,7,2,5,0,0,0,1,1,2,3
New Directions for Student Services,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0695,SS,0164-7970,1536-0695,65,15,50,9,2,22,10,15,1,6
New Directions for Teaching and Learning,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1536-0768,TL,0271-0633,1536-0768,73,10,63,9,8,9,2,20,5,20
New Directions for Youth Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1537-5781,YD,1533-8916,1537-5781,23,1,22,2,1,2,5,4,6,3
New Economy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0041,NEWE,1070-3535,1468-0041,1,0,1,0,0,0,1,0,0,0
New Horizons in Adult Education and Human Resource Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1939-4225,NHA3,1939-4225,1939-4225,91,61,30,1,1,57,20,4,0,8
New Microbes and New Infections,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2052-2975,NMI2,2052-2975,2052-2975,0,0,0,0,0,0,0,0,0,0
New Perspectives Quarterly,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5842,NPQU,0893-7850,1540-5842,24,1,23,6,4,4,2,6,0,2
New Phytologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-8137,NPH,0028-646X,1469-8137,3951,2018,1933,600,788,698,641,435,413,376
"New Technology, Work and Employment",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-005X,NTWE,0268-1072,1468-005X,56,23,33,8,2,15,17,2,9,3
New Zealand Geographer,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7939a,NZG,0028-8144,1745-7939,5,3,2,2,0,2,0,1,0,0
New Zealand Journal of Geography,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7939,NZG,0028-8292,1745-7939,0,0,0,0,0,0,0,0,0,0
Nihon Kyukyu Igakukai Zasshi: Journal of Japanese Association for Acute Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1883-3772,JJA2,1883-3772,1883-3772,0,0,0,0,0,0,0,0,0,0
NMR in Biomedicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1492,NBM,0952-3480,1099-1492,201,62,139,17,44,30,31,29,25,25
Nonprofit Business Advisor,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1949-3193,NBA,1531-5428,1949-3193,14,9,5,0,2,1,0,0,1,10
Nonprofit Communications Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1549-778X, ,1549-778X,2325-8616,0,0,0,0,0,0,0,0,0,0
Nonprofit Communications Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2325-8616,NPCR,1549-778X,2325-8616,0,0,0,0,0,0,0,0,0,0
Nonprofit Management and Leadership,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-7854,NML,1048-6682,1542-7854,63,19,44,1,2,17,19,11,3,10
Nontraditional Students Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1943-7501,NSR,1523-5416,1943-7501,0,0,0,0,0,0,0,0,0,0
Nordic Journal of Botany,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1756-1051,NJB,0107-055X,1756-1051,37,24,13,0,1,3,5,23,2,3
Nordiskt Medicinskt Arkiv,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)0954-6820,JOIM,0365-3250,0954-6820,0,0,0,0,0,0,0,0,0,0
North American Dialogue,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1556-4819,NAD,1539-2546,1556-4819,37,20,17,0,1,3,6,21,5,1
North American Journal of Aquaculture,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1548-8454,NAAQ,1522-2055,1548-8454,14,8,6,0,0,5,6,2,1,0
North American Journal of Fisheries Management,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1548-8675,NAFM,0275-5947,1548-8675,147,76,71,0,25,29,21,16,43,13
NoÃ»s,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0068,NOUS,0029-4624,1468-0068,123,40,83,12,33,16,13,14,18,17
NSPI Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1931-9150,PFI,0147-2747,1931-9150,0,0,0,0,0,0,0,0,0,0
NSPI Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-0132a,PFI,0027-7002,1932-0132,0,0,0,0,0,0,0,0,0,0
NSPI Newsletter,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-0132,PFI,0090-8118,1932-0132,0,0,0,0,0,0,0,0,0,0
Numerical Linear Algebra with Applications,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1506,NLA,1070-5325,1099-1506,44,11,33,1,10,7,9,6,6,5
Numerical Methods for Partial Differential Equations,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2426,NUM,0749-159X,1098-2426,13,0,13,1,0,3,2,2,3,2
Nursing & Health Sciences,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-2018,NHS,1441-0745,1442-2018,34,18,16,0,5,5,5,10,6,3
Nursing for Women's Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-486X,LIFE,1751-4851,1751-486X,15,8,7,1,1,4,1,6,1,1
Nursing Forum,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-6198,NUF,0029-6473,1744-6198,85,42,43,7,15,15,9,13,13,13
Nursing in Critical Care,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1478-5153,NICC,1362-1017,1478-5153,39,19,20,4,8,10,3,5,4,5
Nursing Inquiry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1800,NIN,1320-7881,1440-1800,49,25,24,6,2,11,9,8,11,2
Nursing Open,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2054-1058,NOP2,2054-1058,2054-1058,13,3,10,0,0,0,5,6,2,0
Nursing Philosophy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1466-769X,NUP,1466-7681,1466-769X,17,12,5,8,5,0,1,0,3,0
Nutrition & Dietetics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1747-0080,NDI,1446-6368,1747-0080,42,26,16,3,11,15,3,5,4,1
Nutrition Bulletin,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-3010,NBU,1471-9827,1467-3010,81,43,38,6,16,23,15,4,12,5
Nutrition in Clinical Care,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1523-5408,NCC,1096-6781,1523-5408,0,0,0,0,0,0,0,0,0,0
Nutrition in Clinical Practice,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1941-2452,NCP,0884-5336,1941-2452,133,36,97,6,9,5,11,13,48,41
Nutrition Reviews,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-4887,NURE,0029-6643,1753-4887,133,40,93,21,22,25,28,26,8,3
Nutritional Anthropology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-7172,NUAN,1537-1735,1548-7172,18,3,15,0,0,3,2,13,0,0
Obesity,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1930-739X,OBY,1930-7381,1930-739X,977,568,409,134,241,167,166,123,68,78
Obesity Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1550-8528,OBY,1071-7323,1550-8528,160,103,57,10,22,47,30,22,18,11
Obesity Reviews,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-789X,OBR,1467-7881,1467-789X,530,306,224,57,101,104,67,102,63,36
Obesity Science & Practice,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2055-2238,OSP4,2055-2238,2055-2238,15,6,9,5,0,2,6,2,0,0
Occupational Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-8325b,JOOP,0029-7976,2044-8325,0,0,0,0,0,0,0,0,0,0
Occupational Therapy International,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1557-0703,OTI,0966-7903,1557-0703,22,4,18,2,0,7,0,3,1,9
Occupations: The Vocational Guidance Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2164-5892,JCAD,2164-5841,2164-5892,0,0,0,0,0,0,0,0,0,0
Oceania,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1834-4461,OCEA,0029-8077,1834-4461,4,2,2,0,1,0,1,2,0,0
Oikos,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0706,OIK,0030-1299,1600-0706,602,313,289,94,103,94,103,78,66,64
Oil & Energy Trends: Annual Statistical Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1746-9066,OETS,0953-1033,1746-9066,0,0,0,0,0,0,0,0,0,0
Oil and Energy Trends,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-7992,OET,0950-1045,1744-7992,4,3,1,3,1,0,0,0,0,0
Oil and Fat Industries,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1558-9331c,AOCS,0095-9502,2331-3439,0,0,0,0,0,0,0,0,0,0
Oil and Soap,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1558-9331b,AOCS,0095-9510,2331-3420,0,0,0,0,0,0,0,0,0,0
OPEC Energy Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-0237,OPEC,1753-0229,1753-0237,5,0,5,0,0,1,0,4,0,0
OPEC Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0076,OPEC,0277-0180,1468-0076,0,0,0,0,0,0,0,0,0,0
Opflow,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1551-8701,OPFL,0149-8029,1551-8701,0,0,0,0,0,0,0,0,0,0
Ophthalmic and Physiological Optics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-1313,OPO,0275-5408,1475-1313,39,13,26,4,3,10,3,9,6,4
Optik & Photonik,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2191-1975,2462,1863-1460,2191-1975,7,0,7,1,1,0,1,1,1,2
Optimal Control Applications and Methods,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1514,OCA,0143-2087,1099-1514,14,3,11,0,0,3,7,3,0,1
Oral Diseases,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1601-0825,ODI,1354-523X,1601-0825,77,26,51,14,8,11,13,12,9,10
Oral Microbiology and Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-302X,OMI,0902-0055,1399-302X,22,8,14,7,5,2,4,0,2,2
Oral Surgery,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1752-248X,ORS,1752-2471,1752-248X,3,1,2,0,0,0,0,0,0,3
Orbis Litterarum,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0730,OLI,0105-7510,1600-0730,10,4,6,0,3,1,3,0,0,3
Organic Magnetic Resonance,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-458X,MRC,0030-4921,1097-458X,0,0,0,0,0,0,0,0,0,0
Organic Mass Spectrometry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9888d,JMS,0030-493X,1096-9888,26,1,25,0,7,6,5,1,5,2
Orthodontics & Craniofacial Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1601-6343,OCR,1601-6335,1601-6343,9,5,4,2,0,0,6,1,0,0
Orthopaedic Surgery,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1757-7861,OS,1757-7853,1757-7861,28,8,20,3,3,4,4,7,4,3
Oryx,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-3008,ORY,0030-6053,1365-3008,12,7,5,0,3,4,1,2,2,0
Oxford Bulletin of Economics and Statistics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0084,OBES,0305-9049,1468-0084,58,32,26,3,10,12,12,12,6,3
Oxford Journal of Archaeology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0092,OJOA,0262-5253,1468-0092,57,27,30,10,8,5,12,18,3,1
Oxonomics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1752-5209,OES,1752-5195,1752-5209,2,0,2,0,0,0,1,1,0,0
P2: Pollution Prevention Review,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6815,PPR,1079-0276,1520-6815,0,0,0,0,0,0,0,0,0,0
Pacific Economic Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0106,PAER,1361-374X,1468-0106,14,9,5,3,2,3,3,1,0,2
Pacific Focus,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1976-5118,PAFO,1225-4657,1976-5118,28,10,18,5,6,5,6,2,2,2
Pacific Philosophical Quarterly,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0114,PAPQ,0279-0750,1468-0114,45,14,31,0,9,14,5,7,4,6
Pacific Viewpoint,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2638-4825, ,0030-8978,2638-4825,0,0,0,0,0,0,0,0,0,0
Pacing and Clinical Electrophysiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-8159,PACE,0147-8389,1540-8159,239,99,140,16,41,64,43,29,25,21
Packaging Technology and Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1522,PTS,0894-3214,1099-1522,101,29,72,16,15,14,30,5,13,8
Paediatric and Perinatal Epidemiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-3016,PPE,0269-5022,1365-3016,133,63,70,16,32,34,17,16,10,8
Pain Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1526-4637,PME,1526-2375,1526-4637,37,19,18,1,4,11,5,3,9,4
Pain Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1533-2500,PAPR,1530-7085,1533-2500,129,70,59,40,16,18,13,11,18,13
Palaeontology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-4983,PALA,0031-0239,1475-4983,95,38,57,14,9,17,9,3,14,29
Paleoceanography,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1944-9186,PALO,0883-8305,1944-9186,37,18,19,11,0,5,7,11,2,1
Paleoceanography and Paleoclimatology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2572-4525,PALO,2572-4517,2572-4525,1,0,1,0,0,0,0,0,0,1
PAMM,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1617-7061,2130,1617-7061,1617-7061,39,2,37,2,1,5,8,8,3,12
Papers in Palaeontology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2056-2802,SPP2,2056-2802,2056-2802,20,2,18,0,1,3,1,0,12,3
Papers in Regional Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1435-5957,PIRS,1056-8190,1435-5957,54,18,36,3,13,9,11,10,4,4
Parasite Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-3024,PIM,0141-9838,1365-3024,113,54,59,17,32,17,8,13,14,12
Parliamentary History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1750-0206,PARH,0264-2824,1750-0206,3,0,3,1,0,0,0,1,0,1
Particle & Particle Systems Characterization,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4117,2056,0934-0866,1521-4117,54,18,36,11,7,7,6,13,2,8
Pastoral Care in Education,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0122,PAST,0264-3944,1468-0122,0,0,0,0,0,0,0,0,0,0
Pathogens and Disease,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2049-632X,FIM,2049-632X,2049-632X,4,2,2,4,0,0,0,0,0,0
Pathology International,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1827,PIN,1320-5463,1440-1827,102,33,69,14,10,19,12,22,13,12
Peace & Change,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0130,PECH,0149-0508,1468-0130,17,5,12,3,4,2,3,5,0,0
Pediatric Allergy and Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-3038,PAI,0905-6157,1399-3038,110,51,59,11,16,29,19,27,6,2
Pediatric Anesthesia,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1460-9592,PAN,1155-5645,1460-9592,333,201,132,60,46,44,33,34,59,57
Pediatric Blood & Cancer,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1545-5017,MPO,1545-5009,1545-5017,583,281,302,150,73,61,75,48,95,81
Pediatric Dermatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1525-1470,PDE,0736-8046,1525-1470,212,102,110,34,22,47,22,20,33,34
Pediatric Diabetes,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-5448,PEDI,1399-543X,1399-5448,102,46,56,11,17,16,11,12,11,24
PEDIATRIC INVESTIGATION,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2574-2272,PED4,2574-2272,2574-2272,2,1,1,2,0,0,0,0,0,0
Pediatric Obesity,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2047-6310,IJPO,2047-6302,2047-6310,92,46,46,26,11,9,13,13,10,10
Pediatric Pulmonology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0496,PPUL,8755-6863,1099-0496,185,71,114,40,12,36,23,24,31,19
Pediatric Transplantation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-3046,PETR,1397-3142,1399-3046,90,40,50,11,10,11,2,27,22,7
Pediatrics International,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-200X,PED,1328-8067,1442-200X,124,62,62,12,21,19,19,30,10,13
Peptide Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0282a,BIP,0006-3525,1097-0282,66,31,35,13,20,5,10,4,9,5
Peptide Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2475-8817,PEP2,2475-8817,2475-8817,3,0,3,0,0,0,0,0,2,1
Performance & Instruction,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1931-9177,PFI,0273-5326,1931-9177,0,0,0,0,0,0,0,0,0,0
Performance & Instruction Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1931-9185,PFI,8750-0191,1931-9185,0,0,0,0,0,0,0,0,0,0
Performance + Instruction,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-0166,PFI,0884-1985,1932-0166,0,0,0,0,0,0,0,0,0,0
Performance Improvement,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1930-8272,PFI,1090-8811,1930-8272,17,9,8,2,5,4,4,1,0,1
Performance Improvement Quarterly,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1937-8327,PIQ,0898-5952,1937-8327,14,0,14,1,1,2,6,1,2,1
Periodontology 2000,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0757,PRD,0906-6713,1600-0757,46,21,25,5,1,16,1,8,6,9
Permafrost and Periglacial Processes,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1530,PPP,1045-6740,1099-1530,1,0,1,0,0,1,0,0,0,0
Personal Relationships,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-6811,PERE,1350-4126,1475-6811,84,35,49,5,8,27,17,14,4,9
Personality and Mental Health,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-863X,PMH,1932-8621,1932-863X,28,14,14,9,5,0,1,6,2,5
Personnel Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-6570,PEPS,0031-5826,1744-6570,170,77,93,25,12,24,39,35,17,18
Perspectives in Healthcare Risk Management,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2040-0861a,JHRM,0899-1073,2040-0861,1,0,1,0,1,0,0,0,0,0
Perspectives in Psychiatric Care,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-6163,PPC,0031-5990,1744-6163,51,21,30,2,8,7,14,7,1,12
Perspectives on Psychological Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-6924,PPSY,1745-6916,1745-6924,0,0,0,0,0,0,0,0,0,0
Perspectives on Sexual and Reproductive Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1931-2393,PSRH,1538-6341,1931-2393,57,36,21,0,2,20,5,8,13,9
Perspektiven der Wirtschaftspolitik,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-2516,PERS,1465-6493,1468-2516,0,0,0,0,0,0,0,0,0,0
Pest Management Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1526-4998,PS,1526-498X,1526-4998,847,429,418,130,133,136,140,123,100,85
Pesticide Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9063,PS,0031-613X,1096-9063,50,2,48,2,3,4,13,9,13,6
Pharmaceutical Statistics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1539-1612,PST,1539-1604,1539-1612,46,13,33,9,1,10,9,5,3,9
Pharmacoepidemiology and Drug Safety,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1557,PDS,1053-8569,1099-1557,172,82,90,26,21,24,20,35,31,15
Pharmacology & Toxicology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0773a,BCPT,0901-9928,1600-0773,30,1,29,0,7,3,7,8,3,2
Pharmacology Research & Perspectives,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2052-1707,PRP2,2052-1707,2052-1707,23,14,9,6,4,6,4,0,2,1
Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1875-9114,PHAR,0277-0008,1875-9114,561,180,381,57,85,57,94,55,93,120
Pharmacy and Pharmacology Communications,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2042-7158a,JPHP,1460-8081,2042-7158,3,1,2,0,0,1,0,2,0,0
Pharmazie in unserer Zeit,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1615-1003,2009,0048-3664,1615-1003,0,0,0,0,0,0,0,0,0,0
Philosophical Books,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0149,PHIB,0031-8051,1468-0149,4,2,2,0,0,2,0,1,0,1
Philosophical Investigations,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9205,PHIN,0190-0536,1467-9205,7,1,6,1,0,3,1,2,0,0
Philosophical Issues,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1533-6077, ,1533-6077,1758-2237,0,0,0,0,0,0,0,0,0,0
Philosophical Issues,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1758-2237,PHIS,1533-6077,1758-2237,33,14,19,4,4,3,6,3,6,7
Philosophical Perspectives,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1520-8583,PHPE,1520-8583,1520-8583,19,5,14,0,2,4,1,5,5,2
Philosophy & Public Affairs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1088-4963,PAPA,0048-3915,1088-4963,64,24,40,9,7,18,11,13,3,3
Philosophy and Phenomenological Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1933-1592,PHPR,0031-8205,1933-1592,142,44,98,12,25,20,40,21,7,17
Philosophy Compass,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1747-9991,PHC3,1747-9991,1747-9991,254,98,156,14,70,50,21,19,20,60
Photochemistry and Photobiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-1097,PHP,0031-8655,1751-1097,284,95,189,34,44,50,27,66,29,34
"Photodermatology, Photoimmunology & Photomedicine",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0781,PHPP,0905-4383,1600-0781,39,21,18,14,5,4,5,2,4,5
Phycological Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1835,PRE,1322-0829,1440-1835,28,17,11,4,3,4,14,1,2,0
physica status solidi (a),John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-396X,2231,0031-8965,1521-396X,220,9,211,32,25,23,45,32,38,25
physica status solidi (a),John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1862-6319,2231,1862-6300,1862-6319,262,100,162,20,56,32,50,42,24,38
physica status solidi (b),John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3951,2232,0370-1972,1521-3951,406,54,352,31,41,49,75,79,75,56
physica status solidi (c),John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1610-1642,2133,1610-1634,1610-1642,27,0,27,5,4,5,2,4,5,2
physica status solidi (RRL) â€“ Rapid Research Letters,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1862-6270,2139,1862-6254,1862-6270,124,41,83,13,12,25,24,19,15,16
physica status solidi c,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1610-1642a,2133,1862-6351,1610-1642,118,1,117,16,12,17,10,18,16,29
Physik in unserer Zeit,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3943,2007,0031-9252,1521-3943,5,3,2,1,0,0,0,4,0,0
Physikalische BlÃ¤tter,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3722,2050,0031-9279,1521-3722,8,0,8,2,2,0,1,2,0,1
Physiologia Plantarum,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-3054,PPL,0031-9317,1399-3054,693,293,400,91,100,121,119,113,79,70
